OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,LotArea,Neighborhood,HouseStyle,CentralAir,SalePrice
7,1488,0,1995,2,1995,7988,Rural,1Story,Y,308379.0
4,777,2,1705,3,1995,15777,Uptown,1Story,Y,266415.0
8,1719,3,1722,3,1965,7578,Suburb,1Story,Y,371517.0
5,3463,2,2222,1,1973,17051,Uptown,SplitLevel,Y,449203.0
7,2387,2,1697,3,2010,5845,Rural,2Story,Y,316732.0
10,983,2,1444,2,2003,13882,Uptown,Bungalow,N,385455.0
3,1765,0,1759,3,2011,16247,Suburb,1Story,Y,292420.0
7,3895,3,1524,1,1950,13484,Suburb,2Story,Y,445892.0
8,1230,1,664,3,1998,2378,Suburb,SplitLevel,Y,315785.0
5,2739,0,32,2,1974,5293,Uptown,1Story,Y,331274.0
4,1540,0,2102,2,1959,13630,Rural,SplitLevel,Y,244395.0
8,3071,0,2059,1,1965,15660,Suburb,2Story,N,436917.0
8,1417,1,1551,3,2007,18608,Riverside,1Story,Y,394151.0
3,2948,3,719,3,2021,2737,Downtown,1Story,Y,386525.0
6,4477,3,2420,3,1978,18619,Riverside,1Story,Y,524600.0
5,1385,3,483,2,1955,14470,Riverside,1Story,Y,292780.0
2,3252,2,972,1,1965,19095,Riverside,2Story,Y,363209.0
8,521,2,306,3,1969,18117,Uptown,1Story,Y,305431.0
6,973,2,456,2,2020,16779,Suburb,Bungalow,Y,310117.0
2,3691,1,2207,2,1992,19643,Suburb,Bungalow,Y,396247.0
5,2757,2,330,2,1975,9271,Uptown,SplitLevel,Y,385285.0
1,2853,1,224,3,2020,19132,Suburb,1Story,Y,281083.0
10,3841,3,1479,3,1982,14178,Downtown,Bungalow,N,562382.0
6,1203,2,1082,3,1975,16490,Uptown,Bungalow,Y,324138.0
9,1186,2,643,3,1994,15863,Suburb,Bungalow,Y,363177.0
1,784,0,615,3,2012,3823,Riverside,2Story,Y,160676.0
10,1215,1,194,3,2016,8852,Uptown,1Story,N,339669.0
3,4247,3,488,3,2001,15072,Uptown,2Story,N,438926.0
7,1262,0,2204,3,2017,13133,Uptown,2Story,Y,352792.0
4,1750,0,1249,3,1975,17111,Riverside,Bungalow,Y,293336.0
9,1447,3,2459,2,1951,8519,Uptown,Bungalow,Y,392451.0
3,2928,0,1102,3,1963,3777,Rural,SplitLevel,Y,277504.0
5,3007,1,1147,1,1979,19606,Suburb,1Story,Y,354281.0
3,1530,1,1241,2,1998,16772,Riverside,1Story,Y,275615.0
7,528,2,515,3,1961,15621,Uptown,Bungalow,Y,276641.0
5,1406,0,1625,1,1993,13859,Suburb,Bungalow,N,261381.0
9,3604,2,1127,3,1982,11496,Downtown,1Story,Y,526911.0
7,4217,0,392,1,1962,9490,Rural,SplitLevel,Y,408381.0
2,3426,1,630,1,1975,10893,Downtown,Bungalow,Y,345278.0
4,2626,1,1847,1,1970,4989,Riverside,SplitLevel,Y,350371.0
9,4499,1,979,1,1977,10343,Riverside,2Story,Y,507049.0
2,3494,0,433,2,1997,19709,Downtown,Bungalow,Y,344695.0
10,3006,1,277,2,1989,13914,Rural,2Story,Y,394396.0
9,1069,0,232,1,2015,10998,Downtown,Bungalow,Y,325301.0
10,2506,2,1552,3,2022,4722,Uptown,2Story,Y,454860.0
5,4109,0,1594,1,1972,6656,Suburb,Bungalow,Y,439776.0
2,4053,2,1113,2,1997,19709,Rural,SplitLevel,Y,341585.0
4,1953,0,2409,3,1951,6133,Suburb,SplitLevel,Y,310156.0
7,1237,2,25,2,1969,3242,Downtown,SplitLevel,Y,309721.0
8,3856,1,1417,2,2008,10539,Suburb,2Story,Y,481998.0
3,1015,2,2314,3,1995,3831,Downtown,SplitLevel,Y,273766.0
1,2500,1,460,1,1952,19953,Rural,2Story,Y,224111.0
4,3670,1,1091,1,2004,9246,Downtown,Bungalow,Y,401030.0
2,2944,2,1006,1,1961,5232,Suburb,2Story,Y,306029.0
8,4060,0,1994,1,1989,5758,Riverside,Bungalow,N,494600.0
4,538,0,490,3,2015,7997,Uptown,1Story,Y,219863.0
2,3842,3,1072,3,1965,12972,Riverside,1Story,Y,392668.0
6,1386,0,215,3,1983,17368,Riverside,1Story,Y,304973.0
6,3344,3,1723,2,1993,3824,Downtown,2Story,Y,464740.0
10,2704,0,1592,3,1955,12683,Downtown,1Story,Y,490447.0
4,1598,0,158,1,2013,6060,Rural,1Story,Y,220978.0
6,3431,1,685,2,1971,2404,Riverside,1Story,Y,395878.0
2,2323,3,1776,1,1967,13017,Riverside,Bungalow,Y,303752.0
10,3701,0,2052,1,1961,5845,Downtown,SplitLevel,N,520837.0
2,2210,3,1843,3,2001,13384,Suburb,2Story,Y,313442.0
10,1473,1,2408,3,2000,18448,Suburb,1Story,Y,421553.0
4,3655,1,2295,1,2020,11491,Uptown,Bungalow,Y,439116.0
8,3593,3,1589,1,1997,15112,Rural,SplitLevel,N,458796.0
7,4030,1,1696,2,1968,13785,Downtown,SplitLevel,Y,507560.0
9,2062,2,2469,3,1955,2968,Suburb,SplitLevel,Y,398934.0
8,4278,2,1946,2,1976,2368,Rural,Bungalow,N,488517.0
5,3396,1,2062,2,2002,10424,Uptown,1Story,Y,453211.0
2,3953,2,1145,2,1997,4242,Downtown,SplitLevel,Y,386508.0
5,3295,0,2324,1,1956,5083,Riverside,Bungalow,Y,373453.0
8,4011,3,1581,2,2008,15322,Rural,Bungalow,Y,473818.0
10,4175,0,2493,2,2018,3469,Uptown,2Story,N,561817.0
9,1488,3,2257,1,1960,6725,Uptown,Bungalow,Y,421595.0
9,520,1,2349,3,1964,6259,Downtown,SplitLevel,N,338574.0
1,2850,0,1932,3,2013,5622,Downtown,SplitLevel,N,329262.0
9,1368,1,1757,2,1952,12292,Uptown,Bungalow,Y,361129.0
7,583,1,2050,1,2018,19207,Downtown,SplitLevel,Y,362778.0
9,4345,3,989,3,1972,5431,Uptown,Bungalow,Y,553874.0
8,2182,3,1541,2,2002,6151,Uptown,SplitLevel,Y,406287.0
1,2476,3,1116,2,1986,6213,Uptown,2Story,Y,264084.0
8,4024,0,492,1,1958,17235,Suburb,1Story,Y,463976.0
